elapsed_s,mean,min,max,tracking_prob,repartitioning_prob,storage_type,partitions,paths,interval,line_label
63.5,99908.91658676894,99908.91658676894,99908.91658676894,1.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
64.6,98883.98849472676,98883.98849472676,98883.98849472676,0.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
65.6,96538.31417624521,96538.31417624521,96538.31417624521,1.0,0.0,hard,8,1,5000,hard_p8_w1_i5000
66.6,103788.11121764143,103788.11121764143,103788.11121764143,1.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
67.7,101209.01246404603,101209.01246404603,101209.01246404603,1.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
68.7,100040.22988505747,100040.22988505747,100040.22988505747,1.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
69.8,100530.25936599425,100530.25936599425,100530.25936599425,1.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
70.8,99745.92521572388,99745.92521572388,99745.92521572388,0.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
71.9,99243.52828379675,99243.52828379675,99243.52828379675,1.0,0.0,hard,8,1,5000,hard_p8_w1_i5000
72.9,103855.90778097983,103855.90778097983,103855.90778097983,1.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
73.9,104449.66442953021,104449.66442953021,104449.66442953021,1.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
75.0,103765.32567049807,103765.32567049807,103765.32567049807,1.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
76.0,102821.66826462129,102821.66826462129,102821.66826462129,1.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
77.1,101050.81495685523,101050.81495685523,101050.81495685523,0.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
78.1,104614.57334611697,104614.57334611697,104614.57334611697,1.0,0.0,hard,8,1,5000,hard_p8_w1_i5000
