elapsed_s,mean,min,max,tracking_prob,repartitioning_prob,storage_type,partitions,paths,interval,line_label
37.5,162798.46449136277,162798.46449136277,162798.46449136277,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
38.5,167261.9961612284,167261.9961612284,167261.9961612284,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
39.5,163030.71017274473,163030.71017274473,163030.71017274473,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
40.6,161479.84644913627,161479.84644913627,161479.84644913627,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
41.6,162792.70633397312,162792.70633397312,162792.70633397312,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
42.7,164485.6046065259,164485.6046065259,164485.6046065259,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
43.7,163392.51439539346,163392.51439539346,163392.51439539346,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
44.8,163640.73006724304,163640.73006724304,163640.73006724304,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
45.8,162361.80422264876,162361.80422264876,162361.80422264876,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
46.8,165845.48944337812,165845.48944337812,165845.48944337812,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
47.9,164394.55782312926,164394.55782312926,164394.55782312926,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
48.9,166416.7468719923,166416.7468719923,166416.7468719923,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
50.0,165297.50479846448,165297.50479846448,165297.50479846448,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
51.0,164362.5,164362.5,164362.5,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
52.0,164954.89443378118,164954.89443378118,164954.89443378118,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
53.1,164157.6923076923,164157.6923076923,164157.6923076923,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
54.1,162478.886756238,162478.886756238,162478.886756238,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
55.2,164593.65994236313,164593.65994236313,164593.65994236313,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
56.2,165185.0431447747,165185.0431447747,165185.0431447747,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
57.2,164602.68714011516,164602.68714011516,164602.68714011516,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
58.3,163888.56868395774,163888.56868395774,163888.56868395774,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
59.3,165071.97696737043,165071.97696737043,165071.97696737043,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
60.4,163699.61612284067,163699.61612284067,163699.61612284067,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
1.0,161540.25218234723,161540.25218234723,161540.25218234723,1.0,1.0,hard,1,1,5000,hard_p1_w1_i5000
2.1,188871.24878993226,188871.24878993226,188871.24878993226,1.0,1.0,hard,1,1,5000,hard_p1_w1_i5000
3.1,188916.02316602317,188916.02316602317,188916.02316602317,1.0,1.0,hard,1,1,5000,hard_p1_w1_i5000
4.1,188766.63452266154,188766.63452266154,188766.63452266154,1.0,1.0,hard,1,1,5000,hard_p1_w1_i5000
5.2,187467.69527483126,187467.69527483126,187467.69527483126,1.0,1.0,hard,1,1,5000,hard_p1_w1_i5000
6.2,188408.65384615384,188408.65384615384,188408.65384615384,1.0,1.0,hard,1,1,5000,hard_p1_w1_i5000
7.3,187632.33878729548,187632.33878729548,187632.33878729548,1.0,1.0,hard,1,1,5000,hard_p1_w1_i5000
8.3,187790.24390243905,187790.24390243905,187790.24390243905,1.0,1.0,hard,1,1,5000,hard_p1_w1_i5000
9.3,187376.32338787298,187376.32338787298,187376.32338787298,1.0,1.0,hard,1,1,5000,hard_p1_w1_i5000
10.4,190188.46153846153,190188.46153846153,190188.46153846153,1.0,1.0,hard,1,1,5000,hard_p1_w1_i5000
